District,Soil_Type,pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Soil_Moisture,Electrical_Conductivity,Crop,Crop_Category,Yield_kg_per_acre
Jagtial,Red,7.6,178.0,42.0,265.0,1.14,27.3,2.92,Bajra,Cash,777.0
Khammam,Red,7.1,291.0,37.0,303.0,0.57,30.5,2.61,Paddy,Cash,4107.7
Kamareddy,Laterite,5.69,260.0,21.0,214.0,0.74,23.0,1.25,Castor,Plantation,477.5
Karimnagar,Laterite,7.16,306.0,74.0,229.0,1.04,27.8,1.13,Turmeric,Field,2048.1
Rangareddy,Black,7.53,247.0,67.0,188.0,0.74,19.8,1.64,Bengal Gram,Cash,426.7
Medak,Laterite,7.0,238.0,33.0,157.0,0.67,26.7,0.88,Soybean,Plantation,807.9
Rangareddy,Red,5.75,188.0,68.0,178.0,0.82,24.2,1.77,Sesame,Plantation,224.6
Nalgonda,Alluvial,6.23,193.0,28.0,142.0,0.41,26.1,2.47,Groundnut,Field,880.4
Rangareddy,Laterite,7.46,316.0,57.0,171.0,0.39,15.8,0.84,Groundnut,Cash,869.7
Warangal,Black,6.24,316.0,59.0,303.0,0.41,36.1,1.65,Rice,Plantation,3694.3
Rangareddy,Alluvial,6.42,314.0,38.0,356.0,0.4,12.0,1.65,Paddy,Field,3404.6
Medak,Laterite,5.73,192.0,59.0,213.0,0.84,28.6,2.52,Bajra,Cash,790.3
Mahbubnagar,Alluvial,6.32,256.0,63.0,317.0,1.15,16.2,0.79,Cotton,Field,1569.0
Warangal,Red,5.92,219.0,68.0,230.0,0.33,18.6,1.01,Castor,Field,510.3
Mahbubnagar,Black,6.65,243.0,65.0,371.0,1.04,12.1,0.66,Green Gram,Plantation,328.8
Medak,Laterite,6.69,230.0,41.0,209.0,0.55,26.2,1.49,Paddy,Cash,4125.6
Medak,Laterite,5.57,189.0,67.0,355.0,0.83,10.6,2.48,Red Gram,Plantation,383.5
Karimnagar,Alluvial,6.9,225.0,39.0,399.0,0.69,34.4,3.11,Soybean,Cash,804.0
Nalgonda,Red,7.82,206.0,69.0,172.0,1.15,34.4,1.83,Castor,Field,506.8
Nalgonda,Red,8.12,219.0,56.0,396.0,0.89,26.3,1.41,Sorghum,Plantation,1352.0
Rangareddy,Alluvial,7.55,185.0,58.0,377.0,0.69,30.9,0.52,Turmeric,Plantation,1860.1
Warangal,Red,6.99,166.0,89.0,372.0,0.72,13.5,2.69,Soybean,Plantation,742.6
Jagtial,Laterite,6.62,232.0,53.0,226.0,0.43,15.7,1.98,Sugarcane,Field,50877.9
Nizamabad,Laterite,8.02,236.0,77.0,171.0,0.57,27.6,3.2,Soybean,Field,788.4
Rangareddy,Laterite,6.4,280.0,46.0,379.0,1.08,39.4,0.88,Bajra,Field,792.7
Nizamabad,Red,6.36,230.0,84.0,202.0,1.19,33.8,2.14,Sugarcane,Cash,68094.4
Karimnagar,Laterite,7.85,299.0,51.0,248.0,0.71,31.7,1.4,Sugarcane,Field,57793.1
Mahbubnagar,Laterite,7.18,218.0,26.0,185.0,0.91,26.0,3.06,Soybean,Plantation,713.1
Hyderabad,Black,7.2,307.0,90.0,319.0,0.69,13.0,2.08,Maize,Cash,2365.8
Mahbubnagar,Red,5.62,285.0,41.0,200.0,0.43,25.9,1.88,Groundnut,Field,968.5
Medak,Alluvial,7.17,191.0,84.0,126.0,0.72,17.6,0.93,Rice,Cash,4098.6
Kamareddy,Black,5.7,311.0,89.0,176.0,1.17,30.7,1.54,Green Gram,Field,366.9
Rangareddy,Red,6.14,247.0,60.0,398.0,0.57,39.3,2.16,Red Gram,Field,436.1
Kamareddy,Red,7.96,277.0,78.0,369.0,1.0,16.9,2.6,Turmeric,Plantation,1807.5
Mahbubnagar,Black,7.2,304.0,65.0,179.0,0.7,27.4,2.38,Cotton,Cash,1627.6
Nizamabad,Black,6.04,284.0,81.0,197.0,0.75,18.2,0.65,Soybean,Cash,846.6
Nalgonda,Red,6.76,163.0,73.0,152.0,0.91,30.2,1.36,Chilli,Cash,1507.3
Nizamabad,Red,6.21,171.0,46.0,320.0,0.54,21.4,2.1,Bengal Gram,Field,438.5
Rangareddy,Red,7.17,310.0,43.0,275.0,0.88,29.1,1.57,Green Gram,Plantation,331.4
Karimnagar,Red,8.05,202.0,54.0,111.0,1.1,14.1,1.53,Chilli,Cash,1415.3
Jagtial,Black,7.89,261.0,78.0,277.0,1.15,18.4,2.26,Sorghum,Cash,1317.1
Khammam,Laterite,5.77,267.0,58.0,393.0,0.62,21.9,0.73,Maize,Cash,2446.0
Khammam,Red,5.64,207.0,89.0,332.0,0.48,34.9,1.84,Sorghum,Field,1238.0
Karimnagar,Red,6.25,317.0,89.0,253.0,1.02,13.3,2.79,Sugarcane,Field,56762.5
Khammam,Laterite,5.54,195.0,29.0,215.0,0.4,11.9,1.52,Bengal Gram,Plantation,352.0
Rangareddy,Black,8.05,157.0,75.0,357.0,0.77,23.7,3.09,Paddy,Cash,4299.2
Nizamabad,Red,6.82,305.0,25.0,106.0,0.85,12.0,0.99,Chilli,Plantation,1427.1
Medak,Laterite,6.73,253.0,27.0,305.0,1.07,29.5,2.5,Sorghum,Cash,1430.9
Khammam,Alluvial,6.42,227.0,49.0,110.0,0.68,30.0,1.29,Sugarcane,Plantation,61671.8
Hyderabad,Red,7.75,166.0,27.0,316.0,1.03,26.7,1.94,Chilli,Plantation,1511.5
Hyderabad,Alluvial,6.45,263.0,73.0,358.0,0.95,39.1,1.98,Bengal Gram,Field,471.6
Khammam,Black,7.27,188.0,28.0,351.0,0.63,32.9,1.9,Sesame,Plantation,232.6
Medak,Red,7.14,262.0,69.0,89.0,0.55,32.9,2.96,Bengal Gram,Field,403.8
Karimnagar,Alluvial,5.69,276.0,88.0,109.0,0.78,21.3,1.53,Groundnut,Cash,1048.3
Nalgonda,Red,7.89,176.0,73.0,96.0,0.37,23.3,1.44,Castor,Cash,432.2
Warangal,Red,6.43,169.0,67.0,270.0,0.77,19.3,0.82,Paddy,Field,3788.0
Khammam,Black,7.56,199.0,28.0,239.0,0.69,13.9,1.77,Turmeric,Plantation,1687.4
Kamareddy,Laterite,5.69,296.0,23.0,86.0,1.13,35.9,1.91,Bajra,Plantation,695.3
Mahbubnagar,Red,6.59,314.0,32.0,383.0,0.71,30.7,1.25,Sesame,Field,224.9
Medak,Alluvial,6.91,217.0,42.0,189.0,0.6,15.0,1.71,Maize,Plantation,2377.7
Nalgonda,Laterite,7.46,289.0,77.0,156.0,0.43,15.9,1.99,Cotton,Field,1589.7
Kamareddy,Alluvial,6.75,246.0,61.0,298.0,1.09,29.3,3.16,Black Gram,Plantation,331.2
Rangareddy,Red,6.77,257.0,76.0,269.0,0.62,12.2,1.56,Paddy,Field,3700.3
Mahbubnagar,Red,7.24,316.0,26.0,270.0,0.65,27.4,3.06,Paddy,Cash,4512.0
Medak,Black,6.37,231.0,31.0,100.0,0.39,37.0,1.2,Cotton,Plantation,1392.0
Adilabad,Black,7.41,318.0,57.0,275.0,0.63,37.5,1.33,Black Gram,Plantation,307.4
Kamareddy,Laterite,5.68,166.0,67.0,171.0,0.95,29.7,2.91,Sugarcane,Cash,53231.9
Kamareddy,Black,7.98,203.0,66.0,292.0,0.42,31.3,0.41,Chilli,Cash,1562.6
Nalgonda,Black,7.31,291.0,72.0,299.0,0.77,29.4,1.44,Bengal Gram,Field,456.7
Karimnagar,Black,6.42,280.0,33.0,400.0,0.44,18.9,2.55,Sunflower,Plantation,552.8
Warangal,Red,7.29,299.0,63.0,271.0,0.44,15.4,2.26,Groundnut,Plantation,965.8
Nizamabad,Laterite,7.33,190.0,51.0,171.0,0.97,23.5,1.78,Green Gram,Cash,328.1
Khammam,Laterite,7.33,247.0,51.0,326.0,1.0,25.1,1.43,Groundnut,Field,1209.6
Karimnagar,Laterite,5.64,232.0,46.0,379.0,0.94,25.5,0.53,Cotton,Field,1635.9
Warangal,Black,7.74,166.0,84.0,341.0,1.1,37.9,1.42,Bajra,Plantation,695.3
Nizamabad,Red,6.51,155.0,85.0,349.0,0.88,33.7,0.57,Green Gram,Cash,349.4
Karimnagar,Alluvial,6.71,151.0,26.0,162.0,1.05,26.5,2.37,Sunflower,Cash,464.2
Mahbubnagar,Black,6.31,158.0,49.0,334.0,0.71,13.3,2.91,Chilli,Field,1532.8
Medak,Black,7.44,200.0,20.0,193.0,0.81,15.6,2.19,Sunflower,Cash,419.0
Warangal,Red,6.55,230.0,64.0,394.0,0.53,10.5,2.55,Bengal Gram,Field,432.8
Kamareddy,Red,7.58,275.0,43.0,94.0,0.79,34.4,0.68,Castor,Plantation,505.6
Karimnagar,Black,5.67,282.0,52.0,174.0,0.34,16.0,0.28,Green Gram,Plantation,272.3
Warangal,Alluvial,6.18,278.0,33.0,194.0,1.0,36.0,1.16,Maize,Cash,2683.2
Nizamabad,Alluvial,7.92,216.0,88.0,239.0,0.75,37.7,1.73,Cotton,Plantation,1526.6
Nizamabad,Black,6.97,205.0,26.0,291.0,0.58,28.1,1.45,Castor,Cash,516.1
Jagtial,Laterite,7.16,224.0,65.0,333.0,0.35,30.1,1.39,Sunflower,Plantation,541.0
Adilabad,Black,7.79,265.0,51.0,120.0,0.51,29.4,1.25,Paddy,Plantation,3510.7
Rangareddy,Laterite,6.5,280.0,60.0,249.0,0.66,29.5,0.91,Maize,Field,2986.3
Rangareddy,Alluvial,7.97,170.0,74.0,305.0,0.49,28.4,2.27,Soybean,Field,725.5
Hyderabad,Alluvial,5.97,271.0,90.0,339.0,1.17,39.6,2.19,Cotton,Plantation,1647.5
Mahbubnagar,Black,7.42,308.0,65.0,334.0,0.76,13.6,0.76,Sugarcane,Field,58607.6
Adilabad,Laterite,7.0,213.0,76.0,257.0,0.85,12.6,1.09,Soybean,Plantation,774.9
Nizamabad,Red,5.84,204.0,25.0,229.0,0.77,13.9,2.68,Chilli,Plantation,1431.4
Karimnagar,Alluvial,6.86,298.0,78.0,246.0,0.57,14.9,3.0,Turmeric,Cash,2036.5
Warangal,Laterite,7.78,193.0,64.0,256.0,0.41,19.1,1.78,Sunflower,Plantation,445.4
Medak,Black,5.96,256.0,83.0,188.0,1.13,11.2,2.78,Cotton,Field,1715.8
Medak,Laterite,7.26,280.0,49.0,284.0,0.75,28.8,1.03,Green Gram,Cash,312.7
Kamareddy,Alluvial,6.3,162.0,24.0,221.0,0.74,16.1,2.0,Black Gram,Plantation,261.0
Nalgonda,Alluvial,5.85,213.0,59.0,182.0,0.72,18.0,0.91,Maize,Field,2421.3
Nizamabad,Alluvial,6.17,297.0,31.0,185.0,0.82,19.4,2.48,Soybean,Plantation,800.3
Mahbubnagar,Alluvial,5.56,311.0,55.0,389.0,0.49,20.6,0.3,Soybean,Plantation,823.7
Kamareddy,Alluvial,6.27,151.0,28.0,123.0,0.54,21.0,1.38,Paddy,Cash,3001.2
Warangal,Black,6.48,199.0,47.0,224.0,0.79,34.8,2.05,Maize,Field,2904.5
Nizamabad,Laterite,7.65,208.0,86.0,322.0,0.48,25.3,1.68,Paddy,Field,3630.8
Nalgonda,Alluvial,6.9,175.0,83.0,125.0,1.14,19.6,1.35,Green Gram,Plantation,298.8
Warangal,Alluvial,7.41,201.0,77.0,198.0,0.91,39.4,1.93,Rice,Plantation,3939.9
Kamareddy,Black,7.45,249.0,32.0,281.0,0.86,35.2,0.6,Turmeric,Field,1987.2
Jagtial,Red,6.02,225.0,49.0,212.0,0.48,25.1,2.02,Soybean,Plantation,806.0
Jagtial,Black,6.9,245.0,90.0,233.0,0.64,38.7,1.55,Chilli,Cash,1589.2
Kamareddy,Laterite,7.15,183.0,37.0,259.0,0.5,39.2,1.06,Green Gram,Plantation,253.8
Jagtial,Alluvial,6.36,209.0,85.0,335.0,0.55,13.7,2.21,Bajra,Cash,720.8
Karimnagar,Laterite,5.61,312.0,26.0,376.0,0.89,32.4,0.8,Chilli,Cash,1833.6
Jagtial,Laterite,5.87,255.0,61.0,158.0,0.9,25.9,2.1,Paddy,Field,4185.0
Jagtial,Alluvial,5.77,281.0,20.0,256.0,1.14,22.2,3.0,Soybean,Cash,842.0
Mahbubnagar,Laterite,6.27,160.0,74.0,289.0,0.51,32.2,2.74,Paddy,Field,3918.1
Karimnagar,Red,8.19,217.0,55.0,380.0,1.17,37.8,2.82,Rice,Cash,3992.7
Hyderabad,Laterite,6.27,318.0,58.0,238.0,1.14,35.5,1.58,Sorghum,Field,1368.8
Jagtial,Alluvial,7.25,272.0,21.0,188.0,0.57,30.2,0.74,Bajra,Cash,678.4
Hyderabad,Alluvial,7.31,181.0,30.0,184.0,0.52,17.8,0.87,Red Gram,Cash,352.5
Jagtial,Red,6.21,211.0,37.0,294.0,0.72,14.8,2.24,Green Gram,Plantation,271.6
Mahbubnagar,Laterite,7.16,187.0,29.0,129.0,0.97,28.2,1.42,Chilli,Cash,1605.1
Kamareddy,Black,7.56,266.0,62.0,332.0,0.77,25.8,1.25,Maize,Field,2956.9
Warangal,Black,7.05,175.0,43.0,247.0,0.4,16.2,1.93,Cotton,Plantation,1341.1
Adilabad,Alluvial,5.86,221.0,59.0,259.0,0.91,19.2,0.22,Red Gram,Field,479.5
Medak,Red,5.62,209.0,24.0,398.0,1.14,12.1,3.0,Paddy,Cash,3743.0
Karimnagar,Alluvial,6.51,302.0,51.0,373.0,0.64,12.4,3.09,Chilli,Field,1593.3
Nalgonda,Red,5.98,241.0,57.0,313.0,0.5,10.1,0.22,Green Gram,Cash,290.4
Warangal,Alluvial,6.94,290.0,37.0,191.0,0.55,38.1,2.36,Maize,Field,2687.3
Nizamabad,Red,6.15,161.0,62.0,223.0,0.9,36.2,0.9,Paddy,Cash,3903.9
Warangal,Black,7.54,282.0,30.0,398.0,0.51,37.5,1.91,Black Gram,Field,281.2
Karimnagar,Black,6.62,197.0,59.0,269.0,0.96,15.3,2.22,Chilli,Cash,1466.6
Nalgonda,Alluvial,7.62,204.0,49.0,128.0,0.64,32.6,1.59,Turmeric,Cash,1893.7
Karimnagar,Alluvial,7.97,246.0,88.0,258.0,0.42,17.3,0.77,Cotton,Cash,1536.1
Hyderabad,Black,5.64,214.0,62.0,93.0,0.37,34.1,1.94,Chilli,Field,1386.8
Nalgonda,Laterite,8.08,153.0,86.0,388.0,0.41,40.0,1.61,Turmeric,Plantation,1761.0
Khammam,Alluvial,7.97,244.0,74.0,202.0,0.78,20.8,0.95,Sunflower,Cash,524.3
Jagtial,Alluvial,7.56,204.0,34.0,180.0,0.34,35.9,2.41,Rice,Cash,3320.3
Medak,Alluvial,6.3,183.0,36.0,262.0,0.52,26.5,3.03,Black Gram,Cash,313.4
Rangareddy,Alluvial,6.74,275.0,45.0,125.0,0.79,15.5,2.86,Paddy,Plantation,3485.5
Hyderabad,Red,7.56,220.0,79.0,154.0,0.94,10.3,1.69,Bengal Gram,Field,427.6
Kamareddy,Alluvial,7.28,153.0,57.0,212.0,0.32,31.7,1.78,Green Gram,Field,271.7
Jagtial,Alluvial,7.68,305.0,27.0,111.0,0.43,15.8,1.76,Bengal Gram,Cash,396.1
Hyderabad,Laterite,8.09,228.0,37.0,303.0,0.57,34.8,0.4,Paddy,Field,3628.1
Nizamabad,Alluvial,5.65,152.0,32.0,240.0,0.69,33.5,1.88,Maize,Plantation,2580.3
Khammam,Black,7.93,268.0,60.0,167.0,1.13,30.5,1.01,Chilli,Plantation,1717.1
Karimnagar,Laterite,5.54,185.0,30.0,343.0,1.04,37.9,1.06,Turmeric,Plantation,2005.5
Nizamabad,Laterite,6.54,276.0,75.0,301.0,0.37,32.4,1.2,Maize,Cash,2506.1
Hyderabad,Laterite,7.13,254.0,62.0,390.0,0.59,29.0,2.54,Castor,Cash,521.1
Warangal,Alluvial,6.67,266.0,66.0,107.0,0.86,33.9,2.32,Cotton,Cash,1558.7
Jagtial,Black,7.5,204.0,27.0,82.0,0.58,20.8,0.97,Sugarcane,Field,44472.2
Rangareddy,Alluvial,5.78,165.0,59.0,271.0,1.01,35.9,0.19,Sesame,Cash,232.8
Jagtial,Black,7.04,179.0,47.0,124.0,0.57,24.8,0.34,Sesame,Cash,196.9
Rangareddy,Red,6.48,311.0,70.0,239.0,0.86,23.7,0.56,Rice,Cash,4199.9
Medak,Alluvial,7.67,206.0,43.0,341.0,1.07,39.2,0.57,Black Gram,Plantation,332.9
Khammam,Alluvial,6.35,314.0,88.0,173.0,0.93,24.7,1.91,Turmeric,Cash,2089.1
Nizamabad,Laterite,5.81,246.0,61.0,255.0,0.91,26.5,3.06,Castor,Plantation,545.2
Mahbubnagar,Red,7.71,285.0,49.0,240.0,0.87,17.3,2.16,Sesame,Cash,201.9
Medak,Alluvial,7.07,241.0,85.0,358.0,0.68,11.1,3.1,Chilli,Plantation,1547.0
Hyderabad,Red,7.58,262.0,45.0,287.0,0.34,39.5,2.22,Bajra,Cash,694.6
Nizamabad,Red,5.53,194.0,56.0,246.0,0.82,27.3,1.51,Bajra,Cash,768.1
Medak,Black,6.43,154.0,27.0,213.0,1.17,13.5,3.02,Sugarcane,Cash,49115.4
Rangareddy,Black,6.91,209.0,27.0,311.0,0.71,12.0,0.29,Maize,Field,2585.6
Kamareddy,Red,7.33,178.0,89.0,158.0,0.46,14.8,1.86,Castor,Field,500.2
Kamareddy,Black,6.0,262.0,48.0,316.0,1.09,23.5,1.46,Rice,Plantation,4044.4
Mahbubnagar,Red,7.06,286.0,58.0,197.0,0.48,13.4,2.2,Soybean,Plantation,804.6
Nalgonda,Alluvial,7.15,250.0,44.0,351.0,0.86,34.4,2.3,Green Gram,Plantation,331.0
Kamareddy,Black,6.35,191.0,28.0,199.0,0.43,21.7,1.97,Bajra,Cash,582.9
Kamareddy,Black,7.0,233.0,30.0,181.0,0.71,11.6,1.25,Rice,Cash,3229.4
Nizamabad,Alluvial,6.6,234.0,70.0,222.0,0.45,27.0,2.58,Turmeric,Cash,1824.9
Khammam,Laterite,5.95,228.0,72.0,325.0,0.79,13.4,0.5,Chilli,Cash,1578.8
Adilabad,Alluvial,6.98,318.0,27.0,346.0,0.98,18.9,3.2,Castor,Cash,538.3
Hyderabad,Alluvial,7.84,170.0,77.0,147.0,0.96,30.7,2.78,Sesame,Field,224.6
Khammam,Black,7.67,247.0,57.0,271.0,0.45,39.4,1.04,Red Gram,Plantation,444.3
Kamareddy,Red,5.87,278.0,49.0,99.0,0.55,29.7,2.29,Sugarcane,Field,52311.3
Nalgonda,Black,7.56,265.0,54.0,265.0,0.54,22.4,1.53,Cotton,Cash,1562.3
Mahbubnagar,Laterite,6.73,233.0,61.0,358.0,1.06,12.8,3.12,Bengal Gram,Field,474.7
Nizamabad,Black,8.11,290.0,55.0,183.0,0.56,26.4,0.55,Soybean,Cash,847.6
Adilabad,Red,5.77,283.0,52.0,120.0,1.07,23.2,0.15,Sesame,Field,252.0
Karimnagar,Laterite,5.93,309.0,39.0,289.0,0.53,21.2,2.91,Groundnut,Field,1027.6
Mahbubnagar,Black,6.66,166.0,27.0,148.0,0.37,27.8,1.73,Castor,Field,415.2
Nalgonda,Red,8.17,222.0,29.0,103.0,0.64,31.9,0.46,Black Gram,Cash,285.8
Karimnagar,Alluvial,7.59,278.0,29.0,398.0,0.43,25.9,0.18,Groundnut,Cash,1010.2
Khammam,Black,7.98,255.0,51.0,150.0,1.11,14.2,0.53,Bajra,Cash,719.0
Nalgonda,Black,6.17,260.0,37.0,272.0,0.95,18.5,3.02,Rice,Plantation,4442.9
Khammam,Black,7.52,200.0,24.0,367.0,1.16,24.8,0.49,Soybean,Plantation,828.6
Warangal,Red,8.16,309.0,29.0,355.0,0.81,21.0,2.23,Soybean,Field,714.6
Hyderabad,Red,6.21,157.0,24.0,333.0,0.76,28.9,1.68,Sesame,Cash,228.8
Hyderabad,Black,6.25,203.0,56.0,145.0,1.03,26.1,1.34,Cotton,Cash,1708.3
Jagtial,Black,5.66,165.0,50.0,225.0,0.85,19.3,2.41,Groundnut,Field,902.0
Karimnagar,Red,5.94,312.0,57.0,331.0,0.95,15.0,0.54,Red Gram,Plantation,483.6
Adilabad,Laterite,7.68,196.0,24.0,308.0,0.82,12.3,1.54,Bengal Gram,Field,391.0
Medak,Black,6.49,193.0,27.0,264.0,0.95,16.9,1.7,Paddy,Field,3649.0
Rangareddy,Laterite,6.53,176.0,85.0,354.0,0.8,37.4,2.41,Sesame,Field,222.6
Nizamabad,Laterite,6.23,163.0,46.0,241.0,1.11,15.4,2.6,Paddy,Cash,3438.8
Rangareddy,Laterite,7.59,203.0,26.0,226.0,0.63,18.7,2.54,Turmeric,Cash,1653.4
Rangareddy,Black,7.48,243.0,76.0,128.0,1.14,10.7,1.8,Rice,Cash,3414.5
Kamareddy,Alluvial,7.79,274.0,27.0,250.0,0.51,24.8,0.33,Sugarcane,Plantation,52352.6
Adilabad,Black,7.92,238.0,69.0,199.0,1.18,12.5,0.44,Sugarcane,Plantation,58702.6
Hyderabad,Red,6.67,314.0,37.0,164.0,0.58,34.0,2.29,Black Gram,Cash,309.0
Khammam,Red,8.05,173.0,74.0,115.0,0.4,23.5,1.11,Maize,Plantation,2218.8
Khammam,Alluvial,6.33,195.0,28.0,130.0,0.92,34.8,2.28,Paddy,Field,3983.9
Nalgonda,Black,5.75,192.0,45.0,244.0,0.91,17.8,3.17,Rice,Cash,4111.1
Warangal,Black,5.76,167.0,76.0,119.0,0.36,33.4,0.83,Sorghum,Cash,1139.7
Kamareddy,Red,7.07,194.0,77.0,87.0,0.36,37.1,1.5,Sugarcane,Field,54229.1
Nalgonda,Red,5.62,228.0,32.0,264.0,1.04,21.8,0.24,Sesame,Field,214.8
Karimnagar,Laterite,6.26,300.0,22.0,278.0,0.52,18.9,1.41,Chilli,Cash,1423.8
Mahbubnagar,Alluvial,5.87,184.0,82.0,248.0,0.87,34.1,2.57,Bajra,Plantation,725.3
Warangal,Alluvial,6.43,246.0,43.0,167.0,0.32,27.9,0.24,Red Gram,Field,452.1
Rangareddy,Laterite,7.57,320.0,88.0,112.0,0.89,18.0,2.64,Paddy,Field,4091.7
Nizamabad,Laterite,8.03,319.0,32.0,156.0,0.59,32.1,1.24,Rice,Plantation,3961.7
Medak,Black,7.02,182.0,89.0,362.0,0.74,19.3,1.65,Cotton,Field,1532.4
Khammam,Red,6.92,150.0,84.0,144.0,0.42,31.5,2.95,Black Gram,Field,260.7
Medak,Black,7.59,294.0,80.0,387.0,0.64,38.3,1.36,Maize,Cash,2453.0
Karimnagar,Black,7.48,224.0,65.0,236.0,0.59,31.2,1.86,Bengal Gram,Field,458.6
Karimnagar,Alluvial,6.33,267.0,29.0,313.0,1.15,38.5,1.34,Paddy,Field,4248.4
